partType,name,image,url,type,space
storage,Kingston NV2 500 GB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive (SNV2S/500G),https://cdna.pcpartpicker.com/static/forever/images/product/b95d0c7234714c4d7bb0f246c23cd3b9.256p.jpg,https://pcpartpicker.com/product/QvpzK8/kingston-nv2-500-gb-m2-2280-pcie-40-x4-nvme-solid-state-drive-snv2s500g,NVME,500
storage,Crucial P3 500 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive (CT500P3SSD8),https://cdna.pcpartpicker.com/static/forever/images/product/5b0cd518feacc76794f17f75745b2907.256p.jpg,https://pcpartpicker.com/product/XKt9TW/crucial-p3-500-gb-m2-2280-nvme-solid-state-drive-ct500p3ssd8,NVME,500
storage,Samsung 980 Pro 500 GB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive (MZ-V8P500B/AM),https://cdna.pcpartpicker.com/static/forever/images/product/81d258654f0eb603dc240de6cbca9754.256p.jpg,https://pcpartpicker.com/product/w96qqs/samsung-980-pro-500-gb-m2-2280-nvme-solid-state-drive-mz-v8p500bam,NVME,500
storage,Western Digital Blue SN570 500 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive (WDS500G3B0C),https://cdna.pcpartpicker.com/static/forever/images/product/820f4e4ac27af85645afeaabc7b82f04.256p.jpg,https://pcpartpicker.com/product/9FH7YJ/western-digital-blue-sn570-500-gb-m2-2280-nvme-solid-state-drive-wds500g3b0c,NVME,500
storage,Samsung 980 500 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive (MZ-V8V500B/AM),https://cdna.pcpartpicker.com/static/forever/images/product/ca0b46376f072d2483c385bad50c6310.256p.jpg,https://pcpartpicker.com/product/m6rRsY/samsung-980-500-gb-m2-2280-nvme-solid-state-drive-mz-v8v500bam,NVME,500
storage,Western Digital Black SN770 500 GB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive (WDS500G3X0E),https://cdna.pcpartpicker.com/static/forever/images/product/8fcb88c883df1ee3563538df639a08c8.256p.jpg,https://pcpartpicker.com/product/nWC48d/western-digital-500-gb-m2-2280-nvme-solid-state-drive-wds500g3x0e,NVME,500
storage,Crucial P3 Plus 500 GB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive (CT500P3PSSD8),https://cdna.pcpartpicker.com/static/forever/images/product/2830bf3ba317c794ccde742efe4304be.256p.jpg,https://pcpartpicker.com/product/vPpzK8/crucial-p3-plus-500-gb-m2-2280-nvme-solid-state-drive-ct500p3pssd8,NVME,500
storage,MSI SPATIUM M450 500 GB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive (SM450N500),https://cdna.pcpartpicker.com/static/forever/images/product/e8f5a6db129f6810742530380a15bc25.256p.jpg,https://pcpartpicker.com/product/hwXJ7P/msi-spatium-m450-500-gb-m2-2280-pcie-40-x4-nvme-solid-state-drive-sm450n500,NVME,500
storage,Crucial P5 Plus 500 GB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive (CT500P5PSSD8),https://cdna.pcpartpicker.com/static/forever/images/product/43c2b68eaed9cd66fa6d7d71ee8e2756.256p.jpg,https://pcpartpicker.com/product/9XM48d/crucial-p5-plus-500-gb-m2-2280-pcie-40-x4-nvme-solid-state-drive-ct500p5pssd8,NVME,500
storage,Samsung 970 Evo 500 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive (MZ-V7E500BW),https://cdna.pcpartpicker.com/static/forever/images/product/09a31f32abb3daaf5ed9b849bd60e675.256p.jpg,https://pcpartpicker.com/product/P4ZFf7/samsung-970-evo-500gb-m2-2280-solid-state-drive-mz-v7e500bw,NVME,500
storage,Western Digital Blue SN550 500 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive (WDS500G2B0C),https://cdna.pcpartpicker.com/static/forever/images/product/73be90b182cdb68fe899775fb8fa56ed.256p.jpg,https://pcpartpicker.com/product/zFK2FT/western-digital-blue-sn550-500-gb-m2-2280-nvme-solid-state-drive-wds500g2b0c,NVME,500
storage,Crucial P2 500 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive (CT500P2SSD8),https://cdna.pcpartpicker.com/static/forever/images/product/50d7356e9199580f1c35e7b8f01232ab.256p.jpg,https://pcpartpicker.com/product/G9XYcf/crucial-p2-500-gb-m2-2280-nvme-solid-state-drive-ct500p2ssd8,NVME,500
storage,Western Digital Black SN750 500 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive (WDS500G3X0C),https://cdna.pcpartpicker.com/static/forever/images/product/0e711f3edb98f9680cc528271201d8d2.256p.jpg,https://pcpartpicker.com/product/KTQG3C/western-digital-wd_black-sn750-500-gb-m2-2280-nvme-solid-state-drive-wds500g3x0c,NVME,500
storage,PNY CS1030 500 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive (M280CS1030-500-RB),https://m.media-amazon.com/images/I/41vUAyn18JL.jpg,https://pcpartpicker.com/product/VFzFf7/pny-cs1030-500-gb-m2-2280-nvme-solid-state-drive-m280cs1030-500-rb,NVME,500
storage,Sabrent Rocket 4.0 500 GB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive (SB-ROCKET-NVMe4-500),https://m.media-amazon.com/images/I/413rjUXLtJL.jpg,https://pcpartpicker.com/product/PMbCmG/sabrent-rocket-40-500-gb-m2-2280-nvme-solid-state-drive-sb-rocket-nvme4-500,NVME,500
storage,Kingston A2000 500 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive (SA2000M8/500G),https://cdna.pcpartpicker.com/static/forever/images/product/d2597c6af85efa2da718727f545317eb.256p.jpg,https://pcpartpicker.com/product/RykgXL/kingston-a2000-500-gb-m2-2280-nvme-solid-state-drive-sa2000m8500g,NVME,500
storage,Kingston NV1 500 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive (SNVS/500G),https://cdna.pcpartpicker.com/static/forever/images/product/4b38e34b765a81eddcd84d5450a7f353.256p.jpg,https://pcpartpicker.com/product/H8XJ7P/kingston-nv1-500-gb-m2-2280-nvme-solid-state-drive-snvs500g,NVME,500
storage,Samsung 960 Evo 500 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive (MZ-V6E500),https://cdna.pcpartpicker.com/static/forever/images/product/a1607c19818f4ace2cb342e1fbac5f1f.256p.jpg,https://pcpartpicker.com/product/Ykbkcf/samsung-960-evo-500gb-m2-2280-solid-state-drive-mz-v6e500,NVME,500
