name,rating,price,amazon_link,image_link,tdp,socket,supported_memory,core_count,thread_count,performance_core_clock,boost_clock,cache,lithography,generation
AMD Athlon II X3 405e 2.3 GHz Triple-Core Processor,N/A,N/A,N/A,https://images-na.ssl-images-amazon.com/images/I/416PLWd07rL.jpg,45,AM3,DDR4,3,3,2.3,N/A,0,45,AMD K10
AMD Phenom II X3 740 Black 3 GHz Triple-Core Processor,5.0,N/A,N/A,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/256px-No_image_available.jpg,95,AM3,DDR4,3,3,3,N/A,6,45,AMD K10
AMD Phenom II X4 970 3.5 GHz Quad-Core OEM/Tray Processor,N/A,N/A,N/A,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/256px-No_image_available.jpg,125,AM3,DDR4,4,4,3.5,N/A,6.047,45,AMD K10
AMD Ryzen 5 1600 (12nm) 3.2 GHz 6-Core Processor,4.8,120.0,https://www.amazon.com/dp/B07XTQZJ28?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/2447958ccca245b5827bf05929f870e6.256p.jpg,65,AM4,DDR4,6,12,3.2,3.6,16,12,AMD Zen+
AMD Ryzen 7 5800X 3.8 GHz 8-Core Processor,4.8,161.0,https://www.amazon.com/dp/B0815XFSGK?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/9b4cefb2e43f2c358f3a97a31e1be90b.256p.jpg,105,AM4,DDR4,8,16,3.8,4.7,32,7,AMD Zen 3
Intel Core i3-9350KF 4 GHz Quad-Core Processor,4.0,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/b832802a56c229f75ef6adf54fad250c.256p.jpg,91,LGA 1151,DDR4,4,4,4,4.6,8,14,Intel Coffee Lake Refresh
Intel Core i7-9700 3 GHz 8-Core OEM/Tray Processor,N/A,335.0,https://www.amazon.com/dp/B07T7GHT9Q?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/fec30788a4d41b1c00c195dc6dffb4e9.256p.jpg,65,LGA 1151,DDR4,8,8,3,4.7,12,14,Intel Coffee Lake Refresh
Intel Core i9-9920X 3.5 GHz 12-Core Processor,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/63744c51aa31fb8f5367476e5ae565d3.256p.jpg,165,LGA 2066,DDR4,12,24,3.5,4.4,19.25,14,Intel Skylake
Intel Core i5-11600KF 3.9 GHz 6-Core Processor,4.8,167.51,https://www.amazon.com/dp/B08X62BTJD?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/f9223631f303e54d9bd4aa9967c1f287.256p.jpg,125,LGA 1200,DDR4,6,12,3.9,4.9,12,14,Intel Rocket Lake
Intel Core i5-13500T 1.6 GHz 14-Core OEM/Tray Processor,N/A,N/A,N/A,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/256px-No_image_available.jpg,35,LGA 1700,DDR4,14,20,1.6,4.6,24,10,Intel Raptor Lake
