name,rating,price,amazon_link,image_link,tdp,socket,chipset,ram_type,ram_max_speed,ram_slot,ram_max,pcie_x16_slot,pcie_x1_slot,m2_slot,sata_slot,lan,wifi,form_factor
MSI MEG Z490I UNIFY Mini ITX LGA1200 Motherboard,4.7,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/2aba8a9a8ab9f0685f137318489fccf6.256p.jpg,80,LGA 1200,Intel Z490,DDR4,0,2,64,1,0,2,4,1x 2.5GB/s,Wi-Fi 6,Mini-ITX
MSI PRO B660M-A WIFI DDR4 Micro ATX LGA1700 Motherboard,4.9,299.0,https://www.amazon.com/dp/B09PX7D8KY?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/3cbf74a6886df1b73c6db3935b1b24e1.256p.jpg,80,LGA 1700,Intel B660,DDR4,0,4,128,2,1,2,4,1x 2.5GB/s,Wi-Fi 6,Micro-ATX
Asus TUF GAMING Z790-PLUS WIFI ATX LGA1700 Motherboard,4.9,219.9,https://www.amazon.com/dp/B0BQD58D96?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/aeb8a7dad48da098b42945e9439076fe.256p.jpg,80,LGA 1700,Intel Z790,DDR5,0,4,192,2,2,4,4,1x 2.5GB/s,Wi-Fi 6E,ATX
Asus ProArt Z790-CREATOR WIFI ATX LGA1700 Motherboard,4.4,439.9,https://www.amazon.com/dp/B0BQD69ZSF?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/ab8277b010e4ee58555176df3274e729.256p.jpg,80,LGA 1700,Intel Z790,DDR5,0,4,192,3,0,4,8,1x 10GB/s + 1x 2.5GB/s,Wi-Fi 6E,ATX
Gigabyte Z690 UD AX DDR4 ATX LGA1700 Motherboard,4.1,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/53145af8beee7ff976abda9265cc17b9.256p.jpg,80,LGA 1700,Intel Z690,DDR4,0,4,128,3,2,3,6,1x 2.5GB/s,Wi-Fi 6,ATX
NZXT N7-Z69XT-W1 ATX LGA1700 Motherboard,4.6,299.9,https://nzxt.sjv.io/c/79301/1719474/20004?u=https%3A%2F%2Fnzxt.com%2Fproduct%2Fn7-z690,https://cdna.pcpartpicker.com/static/forever/images/product/ab5f3ec82862abac7ef258dae5b1b918.256p.jpg,80,LGA 1700,Intel Z690,DDR4,0,4,128,3,2,3,4,1x 2.5GB/s,Wi-Fi 6,ATX
Asus PRIME B660M-A D4 Micro ATX LGA1700 Motherboard,4.3,190.0,https://www.amazon.com/dp/B09NWF1JQC?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://m.media-amazon.com/images/I/51Cv4QAFllL.jpg,80,LGA 1700,Intel B660,DDR4,0,4,128,3,0,2,4,1x 1GB/s,No,Micro-ATX
MSI MPG Z690 FORCE WIFI ATX LGA1700 Motherboard,4.9,420.78,https://www.amazon.com/dp/B09GLF92GF?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/1ba24bfcac3647fb9e04f747d06cd999.256p.jpg,80,LGA 1700,Intel Z690,DDR5,2400,4,192,3,0,5,6,1x 2.5GB/s,Wi-Fi 6,ATX
ASRock Z690 Pro RS ATX LGA1700 Motherboard,4.0,121.9,https://click.linksynergy.com/deeplink?id=8BacdVP0GFs&mid=44583&murl=https%3A%2F%2Fwww.newegg.com%2Fasrock-z690-pro-rs-atx-intel-z690-lga-1700%2Fp%2FN82E16813162039,https://cdna.pcpartpicker.com/static/forever/images/product/ca0f9a6ddff8347ea4fbf29af0b4a9c0.256p.jpg,80,LGA 1700,Intel Z690,DDR4,0,4,128,3,2,3,8,1x 2.5GB/s,No,ATX
Asus ROG STRIX Z690-A GAMING WIFI ATX LGA1700 Motherboard,N/A,N/A,N/A,https://m.media-amazon.com/images/I/519+E97-55L.jpg,80,LGA 1700,Intel Z690,DDR5,0,4,192,2,1,4,6,1x 2.5GB/s,Wi-Fi 6E,ATX
