name,rating,price,shop_url,image_url,type,efficiency,wattage,lenght
SeaSonic FOCUS PX 850 W 80+ Platinum Certified Fully Modular ATX Power Supply,5.0,0.0,unknown,https://cdna.pcpartpicker.com/static/forever/images/product/3f102f6accc41e69cdba76a63259abae.256p.jpg,Fully Modular,80+ Platinum,850,140.0
be quiet! Straight Power 12 850 W 80+ Platinum Certified Fully Modular ATX Power Supply,4.8,124.9,https://www.amazon.com/dp/B0CC7R91V7?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/7538bfbc579094f3dc35c3d8e5ae37b0.256p.jpg,Fully Modular,80+ Platinum,850,160.0
Thermaltake Smart Pro RGB 850 W 80+ Bronze Certified Fully Modular ATX Power Supply,4.7,0.0,unknown,https://cdna.pcpartpicker.com/static/forever/images/product/a070324480a65f4dd777684a249b489f.256p.jpg,Fully Modular,80+ Bronze,850,170.0
Corsair CS850M 850 W 80+ Gold Certified Semi-modular ATX Power Supply,5.0,0.0,unknown,https://images-na.ssl-images-amazon.com/images/I/41t3vC3pZSL.jpg,Semi Modular,80+ Gold,850,160.0
Thermaltake Toughpower iRGB PLUS 850 Platinum 850 W 80+ Platinum Certified Fully Modular ATX Power Supply,3.0,0.0,unknown,https://m.media-amazon.com/images/I/410U6F036uL.jpg,Fully Modular,80+ Platinum,850,160.0
Thermaltake Toughpower GF A3 - TT Premium Edition 850 W 80+ Gold Certified Fully Modular ATX Power Supply,0.0,0.0,unknown,https://cdna.pcpartpicker.com/static/forever/images/product/3ef3786cf13096d367d314e5498fffc2.256p.jpg,Fully Modular,80+ Gold,850,140.0
Athena Power AP-P4ATX85FEP 850 W ATX Power Supply,0.0,0.0,unknown,https://m.media-amazon.com/images/I/41+G9wQqjwL.jpg,Non Modular,unknown,850,158.0
Gigabyte UD1000GM 1000 W 80+ Gold Certified Fully Modular ATX Power Supply,5.0,129.9,https://www.amazon.com/dp/B09VKF3CFC?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/36a1106bfef38acdd03cdaf5ba5c8a08.256p.jpg,Fully Modular,80+ Gold,1000,140.0
Gigabyte P1000GM 1000 W 80+ Gold Certified Fully Modular ATX Power Supply,0.0,0.0,unknown,https://cdna.pcpartpicker.com/static/forever/images/product/fc62954202f5e034004e9ab0973a8789.256p.jpg,Fully Modular,80+ Gold,1000,140.0
SeaSonic PRIME Ultra Platinum 1000 1000 W 80+ Platinum Certified Fully Modular ATX Power Supply,5.0,0.0,unknown,https://m.media-amazon.com/images/I/51IqS0fnl0L.jpg,Fully Modular,80+ Platinum,1000,170.0
be quiet! Power Zone 1000W 1000 W 80+ Bronze Certified Fully Modular ATX Power Supply,4.0,0.0,unknown,https://cdna.pcpartpicker.com/static/forever/images/product/70e08d3ae50f62682b3c1720ea52bc38.256p.jpg,Fully Modular,80+ Bronze,1000,175.0
Fractal Design Tesla R2 1000 W 80+ Gold Certified ATX Power Supply,0.0,0.0,unknown,https://images-na.ssl-images-amazon.com/images/I/412wt1tYXcL.jpg,Non Modular,80+ Gold,1000,165.0
Silverstone OP1000-P 1000 W 80+ Certified ATX Power Supply,0.0,0.0,unknown,https://images-na.ssl-images-amazon.com/images/I/41D9MC54WKL.jpg,Non Modular,80+,1000,150.0
Topower ZU-1050W 1050 W ATX Power Supply,0.0,0.0,unknown,https://m.media-amazon.com/images/I/51m8WKSZxsL.jpg,Non Modular,unknown,1050,139.0
Phanteks Revolt X 1200 W 80+ Platinum Certified Fully Modular ATX Power Supply,4.7,0.0,unknown,https://m.media-amazon.com/images/I/51bHBlypsDL.jpg,Fully Modular,80+ Platinum,1200,170.0
Rosewill TOKAMAK 1200 1200 W 80+ Titanium Certified Fully Modular ATX Power Supply,0.0,0.0,unknown,https://images-na.ssl-images-amazon.com/images/I/51mJOLHN62L.jpg,Fully Modular,80+ Titanium,1200,180.0
Topower TOP-1200W 1200 W 80+ Certified Fully Modular ATX Power Supply,0.0,0.0,unknown,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/256px-No_image_available.jpg,Fully Modular,80+,1200,175.0
Thermaltake Toughpower GF3 TT Premium 1350 W 80+ Gold Certified Fully Modular ATX Power Supply,0.0,178.5,https://www.amazon.com/dp/B0BF4BJBQB?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/b422e4dfe6da14ae8eff69a9dc7cbc9c.256p.jpg,Fully Modular,80+ Gold,1350,160.0
Asus ROG THOR 1600T Gaming 1600 W 80+ Titanium Certified Fully Modular ATX Power Supply,4.0,672.9,https://www.amazon.com/dp/B0BWH7LDN5?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/b22fb9713e4ad5dd4245dbec30740766.256p.jpg,Fully Modular,80+ Titanium,1600,190.0
