name,rating,price,amazon_link,image_link,tdp,pcie_gen,capacity,speed_read,speed_write
Gigabyte AORUS Gen4 2 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,5.0,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/c4cde2be435d217826a3d3e69a76b6f8.256p.jpg,10,4x4,2 TB,N/A,N/A
MSI SPATIUM M371 2 TB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,N/A,89.9,https://msi.pxf.io/c/79301/1986809/23099?prodsku=1695&u=https%3A%2F%2Fus-store.msi.com%2FPC-Components%2FStorage-Devices%2FSPATIUM-M371-2TB&intsrc=CATF_16410,https://cdna.pcpartpicker.com/static/forever/images/product/d107382d93f8644cb089dc6bc87107e5.256p.jpg,10,3x4,2 TB,N/A,N/A
TEAMGROUP Cardea A440 2 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,4.5,129.9,https://www.amazon.com/dp/B0921RKRDH?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/4ccb73baed8f94574445976fdb82509d.256p.jpg,10,4x4,2 TB,N/A,N/A
Western Digital WD_BLACK SN850P for PS5 2 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,5.0,175.9,https://www.amazon.com/dp/B0C47ZX1WB?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://m.media-amazon.com/images/I/31AvWWHMITL.jpg,10,4x4,2 TB,N/A,N/A
Mushkin Pilot-E 2 TB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,5.0,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/fe3034d43ec3cd0b997ffdfeae2b1cb8.256p.jpg,10,3x4,2 TB,N/A,N/A
Lexar Professional NM800PRO w/Heatsink 2 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,N/A,149.9,https://www.bhphotovideo.com/c/product/1724948-REG/lexar_lnm800p002t_rn8ng_2_tb_nm800_pro.html/BI/19488/KBID/11704,https://cdna.pcpartpicker.com/static/forever/images/product/efd188b8bf6db9f576ffa8af7364e1bf.256p.jpg,10,4x4,2 TB,N/A,N/A
Gigabyte AORUS Gen4 2 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,5.0,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/c4cde2be435d217826a3d3e69a76b6f8.256p.jpg,10,4x4,2 TB,N/A,N/A
PNY CS2241 2 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,N/A,120.9,https://click.linksynergy.com/deeplink?id=8BacdVP0GFs&mid=44583&murl=https%3A%2F%2Fwww.newegg.com%2Fpny-2tb-cs2241%2Fp%2FN82E16820177158,https://cdna.pcpartpicker.com/static/forever/images/product/3fc0cebea011952b5ccdfcf28c99b221.256p.jpg,10,4x4,2 TB,N/A,N/A
Klevv CRAS C920 2 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,N/A,N/A,N/A,https://m.media-amazon.com/images/I/31uRd3nt0QS.jpg,10,4x4,2 TB,N/A,N/A
Timetec 35TTFP6PCIE 2 TB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,N/A,N/A,N/A,https://m.media-amazon.com/images/I/413qz+IDzHL.jpg,10,3x4,2 TB,N/A,N/A
Fantom Drives VENOM8 PS5 2 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,N/A,134.9,https://www.amazon.com/dp/B0BQD8BB2J?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://m.media-amazon.com/images/I/412RvikBjnL.jpg,10,4x4,2 TB,N/A,N/A
ADATA XPG ASX8600 Pro 2 TB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,N/A,N/A,N/A,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/256px-No_image_available.jpg,10,3x4,2 TB,N/A,N/A
V7 V7SSD2TBNV4U 2 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,N/A,N/A,N/A,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/256px-No_image_available.jpg,10,4x4,2 TB,N/A,N/A
Fastro MS250 2 TB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,N/A,N/A,N/A,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ac/No_image_available.svg/256px-No_image_available.jpg,10,3x4,2 TB,N/A,N/A
Sabrent Rocket Q 8 TB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,5.0,N/A,N/A,https://m.media-amazon.com/images/I/41P-zScM92L.jpg,10,3x4,8 TB,N/A,N/A
Kingston KC3000 4.096 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,N/A,306.44,https://www.amazon.com/dp/B09K7DHG1Z?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://m.media-amazon.com/images/I/31p3IUZV+ZL.jpg,10,4x4,4.096 TB,N/A,N/A
PNY CS3140 4 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,N/A,411.69,https://www.amazon.com/dp/B09C44XFZ2?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/ae363212960ec9fd96680f4355bbc61a.256p.jpg,10,4x4,4 TB,N/A,N/A
ADATA LEGEND 960 MAX 4 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,N/A,279.9,https://www.amazon.com/dp/B0BM584Q2C?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/a90a67816caf9b4d6bd4dc23ed17adc1.256p.jpg,10,4x4,4 TB,N/A,N/A
Kingston NV1 250 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,N/A,29.88,https://www.amazon.com/dp/B09DVP94WC?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/f8b8691f92258f8712dcc51e1d10f3d7.256p.jpg,10,3x4,250 GB,1517,665
PNY CS1030 250 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/dc1afe5da8511a0e7fa1bf8e03c7d08c.256p.jpg,10,3x4,250 GB,N/A,N/A
Samsung 850 Evo 250 GB M.2-2280 SATA Solid State Drive,4.8,66.9,https://www.amazon.com/dp/B00TGIVZTW?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/c1437e4d53fc068ea23466f679b07733.256p.jpg,10,N/A,250 GB,N/A,N/A
Western Digital Blue SN580 250 GB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,5.0,53.4,https://www.amazon.com/dp/B0C8X8LWVC?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/dfbfd7d2c8c2858791c271c8253f64e1.256p.jpg,10,4x4,250 GB,1511,933
Corsair MP600 500 GB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,5.0,64.9,https://go.corsair.com/c/79301/497986/8513?prodsku=CSSD-F500GBMP600R2&u=https%3A%2F%2Fwww.corsair.com%2Fus%2Fen%2Fp%2Fdata-storage%2FCSSD-F500GBMP600R2%2Fforce-series-gen-4-pcie-mp600-500gb-nvme-m-2-ssd-cssd-f500gbmp600r2&intsrc=CATF_3903,https://m.media-amazon.com/images/I/41QpdkokikL.jpg,10,4x4,500 GB,N/A,N/A
TEAMGROUP T-Force Cardea II TUF Gaming Alliance 500 GB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/fb0b19a5d8d0c717a6f43db90d0437f9.256p.jpg,10,3x4,500 GB,N/A,N/A
TEAMGROUP MP33 PRO 1 TB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,5.0,59.9,https://www.amazon.com/dp/B08GM8N3DB?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/6b1c4b8f45703c35569656622ff924ed.256p.jpg,10,3x4,1 TB,1970,915
Solidigm P41 Plus 1 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,4.7,80.49,https://adorama.rfvk.net/c/79301/1175784/1036?prodsku=SDKNU010TZX1&u=https%3A%2F%2Fwww.adorama.com%2Fsdknu010tzx1.html&intsrc=CATF_9102,https://cdna.pcpartpicker.com/static/forever/images/product/aafcbf420443bb76cfe6a8c174f447db.256p.jpg,10,4x4,1 TB,2244,263
Acer Predator GM7000 1 TB M.2-2280 PCIe 4.0 X4 NVME Solid State Drive,5.0,81.9,https://www.amazon.com/dp/B09F5P2JT8?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/1181de6bb1f33eb13aba4cab40a3d10c.256p.jpg,10,4x4,1 TB,2907,2720
Sabrent Rocket 1 TB M.2-2280 PCIe 3.0 X4 NVME Solid State Drive,4.9,N/A,N/A,https://m.media-amazon.com/images/I/41P-zScM92L.jpg,10,3x4,1 TB,2216,1657
