name,rating,price,amazon_link,image_link,tdp,memory,effective memory clock,core clock,boost clock,length,case expansion slot width,external power
XFX FATBOY  Radeon RX 590 8 GB Video Card,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/8f49c4d4ffe2d7cbba2b7c12e61177cf.256p.jpg,225,8GB GDDR5,8000,1469,1580,270,2,1x 8-pin + 1x 6-pin
MSI MECH OC Radeon RX 5700 XT 8 GB Video Card,4.3,N/A,N/A,https://images-eu.ssl-images-amazon.com/images/I/51hWfU2q8tL.jpg,225,8GB GDDR6,14000,1670,1925,232,2,1x 8-pin + 1x 6-pin
HIS HS-57XR8SSBR Radeon RX 5700 XT 8 GB Video Card,N/A,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/eb5fe160741d9085216fcf39580c885e.256p.jpg,225,8GB GDDR6,1400,1605,1905,272,2,1x 8-pin + 1x 6-pin
PowerColor Hellhound Spectral Radeon RX 6700 XT 12 GB Video Card,4.3,1300.16,https://www.amazon.com/dp/B094MM9X6S?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://m.media-amazon.com/images/I/31Y5ETapA-S.jpg,230,12GB GDDR6,16000,2321,2581,305,2,2x 8-pin
HIS HS-VEGR8DSNR Radeon RX VEGA 64 8 GB Video Card,N/A,N/A,N/A,https://static/forever/img/no-image.png,345,8GB HBM2,1890,1406,1677,283,2,2x 8-pin
XFX Speedster SWFT 319 Radeon RX 6800 XT 16 GB Video Card,5.0,N/A,N/A,https://cdna.pcpartpicker.com/static/forever/images/product/8ee45d80334635868e6d33bec929e078.256p.jpg,300,16GB GDDR6,16000,1825,2250,340,2,2x 8-pin
Sapphire TOXIC Limited Edition Radeon RX 6900 XT 16 GB Video Card,N/A,1337.0,https://www.amazon.com/dp/B097LFWDCX?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/d7b812c13e701918185c0e697f28abf4.256p.jpg,400,16GB GDDR6,N/A,1825,2600,270,2,2x 8-pin + 1x 6-pin
MSI GAMING TRIO CLASSIC Radeon RX 7900 XT 20 GB Video Card,4.5,949.9,https://adorama.rfvk.net/c/79301/1175784/1036?prodsku=MSIR79XGT20G&u=https%3A%2F%2Fwww.adorama.com%2Fmsir79xgt20g.html&intsrc=CATF_9102,https://cdna.pcpartpicker.com/static/forever/images/product/386f40b4aa9d48b0a78d35554a5a18e6.256p.jpg,315,20GB GDDR6,N/A,2000,2400,325,2,3x 8-pin
Sapphire NITRO+ Radeon RX 7900 XT 20 GB Video Card,5.0,940.15,https://www.amazon.com/dp/B0BR6KLPDW?tag=pcpapi-20&linkCode=ogi&th=1&psc=1,https://cdna.pcpartpicker.com/static/forever/images/product/1b41fcfe00ec646e4da94a3c85414a85.256p.jpg,368,20GB GDDR6,N/A,2000,2560,320,3,3x 8-pin
AMD 100-300000069 Radeon RX 7900 XTX 24 GB Video Card,N/A,N/A,N/A,https://static/forever/img/no-image.png,355,24GB GDDR6X,N/A,2300,2500,287,2,2x 8-pin
